Approximation,Model,dataset,Accuracy,Time,Features
DeepSHAP,Neural network,precip,99.81722029,0.00327352177,9
Exhaustive,Neural network,precip,99.61775321,469452.25,9
IME,Neural network,precip,99.3690951,0.3745973139,9
KernelSHAP,Neural network,precip,99.4463151,0.0601569602,9
MLE,Neural network,precip,99.30696621,0.1804991072,9
Non-parametric KernelSHAP,Neural network,precip,99.42209505,0.021985,9
Parametric KernelSHAP,Neural network,precip,99.42209502,0.023795,9
SGDShapley,Neural network,precip,99.99423591,0.1182043357,9
CES,Neural network,prostate,93.2675763,0.9399878617,8
Cohort,Neural network,prostate,93.26275763,0.9399878617,8
DASP,Neural network,prostate,98.37835214,0.2336609942,8
DeepLIFT,Neural network,prostate,96.96703981,0.001691617388,8
DeepSHAP,Neural network,prostate,98.37831615,0.01498835015,8
Exhaustive,Neural network,prostate,95.46614774,25987.59749,8
IME,Neural network,prostate,95.38387508,0.3991318544,8
KernelSHAP,Neural network,prostate,95.46614774,0.07163171335,8
MLE,Neural network,prostate,95.908526,0.2022391088,8
Non-parametric KernelSHAP,Neural network,prostate,95.4411398,0.009031,8
Parametric KernelSHAP,Neural network,prostate,95.44114104,0.009061,8
SGDShapley,Neural network,prostate,97.3420824,0.1183207324,8
CES,Neural network,pumpkinseed,99.99775298,12.52899257,12
Cohort,Neural network,pumpkinseed,99.9972753,12.52899257,12
DASP,Neural network,pumpkinseed,99.9582842,0.2553073529,12
DeepLIFT,Neural network,pumpkinseed,98.62393612,0.003041274504,12
DeepSHAP,Neural network,pumpkinseed,99.98284186,0.003541274504,12
Exhaustive,Neural network,pumpkinseed,99.44717398,2759912.559,12
IME,Neural network,pumpkinseed,99.88241967,0.4163689938,12
KernelSHAP,Neural network,pumpkinseed,99.98572975,0.07152888847,12
MLE,Neural network,pumpkinseed,99.8943255,0.2136405266,12
Non-parametric KernelSHAP,Neural network,pumpkinseed,99.98568351,0.10758,12
Parametric KernelSHAP,Neural network,pumpkinseed,99.98568351,0.10758,12
SGDShapley,Neural network,pumpkinseed,99.98923235,0.1050890446,12
CES,Neural network,questions,99.76619436,0.8528288078,3
Cohort,Neural network,questions,99.76261944,0.8528288078,3
DASP,Neural network,questions,99.82503482,0.2545825814,3
DeepLIFT,Neural network,questions,98.50875538,0.0009642124176,3
DeepSHAP,Neural network,questions,99.82034669,0.003936367324,3
Exhaustive,Neural network,questions,99.68780406,25.96812987,3
IME,Neural network,questions,99.59311437,0.3451643192,3
KernelSHAP,Neural network,questions,99.68780406,0.06999431668,3
MLE,Neural network,questions,99.54830762,0.1820531874,3
Non-parametric KernelSHAP,Neural network,questions,99.69213247,0.006334,3
Parametric KernelSHAP,Neural network,questions,99.69213245,0.007712,3
SGDShapley,Neural network,questions,99.40633884,0.1114846793,3
CES,Neural network,raotbl6,46.5013033,1.11873404,7
Cohort,Neural network,raotbl6,46.25013033,1.11873404,7
DASP,Neural network,raotbl6,99.60515827,0.246195892,7
DeepLIFT,Neural network,raotbl6,97.65762166,0.00149469306,7
